Rock_Type,Ore_Grade,Tonnage,Ore_Value,Mining_Cost,Processing_Cost,Waste_Flag,Profit
Magnetite,51.93,2131,294.48,53,38,0,433615.88
Hematite,59.05,1550,273,36,33,0,316200
Magnetite,63.79,2414,338.36,57,28,0,611611.04
Hematite,64.98,1297,307.6,30,29,0,322434.2
Waste,0,1309,0,67,28,1,-124355
Magnetite,64.42,1235,296.51,34,27,0,290854.85
Magnetite,52.46,2706,320.2,45,27,0,671629.2
Hematite,51.22,1708,265.87,41,23,0,344793.96
Magnetite,51.8,1725,252.86,48,21,0,317158.5
Waste,0,1865,0,58,31,1,-165985
Hematite,64.65,2827,269.04,62,31,0,497665.08
Magnetite,50.2,1280,305.77,30,25,0,320985.6
Hematite,57.21,1595,283.33,34,28,0,353021.35
Magnetite,58.43,1104,271.21,30,20,0,244215.84
Magnetite,63.96,2403,267.33,68,36,0,392481.99
Waste,0,2305,0,65,26,1,-209755
Hematite,60.9,1395,338.05,44,24,0,376719.75
Magnetite,54.14,1519,317.38,53,35,0,348428.22
Hematite,64.67,1762,269.89,55,32,0,322252.18
Waste,0,1661,0,39,35,1,-122914
Hematite,56.53,2759,294.79,44,22,0,631231.61
Hematite,59.24,2786,326.85,69,20,0,662650.1
Magnetite,53.33,1276,340.23,39,20,0,358849.48
Magnetite,55.93,2244,342.68,38,22,0,634333.92
Magnetite,60.32,2557,344,49,39,0,654592
Magnetite,56.45,1126,344.68,34,23,0,323927.68
Waste,0,2254,0,39,37,1,-171304
Magnetite,61.23,2356,313.12,44,20,0,586926.72
Magnetite,63.52,2296,305.06,67,35,0,466225.76
Magnetite,64.15,2666,292.59,48,35,0,558766.94
Hematite,60.58,2058,330.65,62,36,0,478793.7
Hematite,56.57,1362,268.26,58,38,0,234618.12
Magnetite,55.71,2111,257.09,58,35,0,346393.99
Magnetite,55.08,2789,303.18,63,23,0,605715.02
Waste,0,1564,0,41,25,1,-103224
Waste,0,2222,0,69,35,1,-231088
Waste,0,2257,0,59,29,1,-198616
Waste,0,2760,0,38,29,1,-184920
Magnetite,55.38,2218,263.06,41,32,0,421553.08
Waste,0,2363,0,64,39,1,-243389
Hematite,63.3,2187,335.7,31,32,0,596394.9
Hematite,58.76,1614,272.81,39,27,0,333791.34
Magnetite,64.48,1322,253.17,42,21,0,251404.74
Waste,0,2643,0,32,36,1,-179724
Hematite,53.96,1996,298.89,31,34,0,466844.44
Hematite,59.9,1206,265.23,42,38,0,223387.38
Hematite,59.81,2035,275.23,37,37,0,409503.05
Hematite,58.17,1279,302.79,36,32,0,300296.41
Magnetite,52.76,1487,345.01,57,36,0,374738.87
Waste,0,2457,0,44,38,1,-201474
Hematite,59.02,1753,286.98,61,39,0,327775.94
Magnetite,62.24,1594,262.63,58,24,0,287924.22
Magnetite,61.56,1467,253.81,67,20,0,244710.27
Magnetite,50.49,2285,307.62,69,38,0,458416.7
Magnetite,62.03,1634,315.17,63,36,0,353221.78
Waste,0,2537,0,54,23,1,-195349
Hematite,63.66,2695,343.76,64,27,0,681188.2
Hematite,64.65,2513,300.95,57,26,0,547708.35
Magnetite,59,1986,262.31,59,33,0,338235.66
Waste,0,1439,0,58,28,1,-123754
Waste,0,1469,0,44,21,1,-95485
Magnetite,51.19,1599,303.05,33,38,0,371047.95
Hematite,57.49,1088,281.36,52,34,0,212551.68
Magnetite,53.21,2159,317.07,60,26,0,498880.13
Magnetite,64.71,2861,328.25,35,39,0,727409.25
Hematite,62.6,2548,250.25,59,37,0,393029
Waste,0,1804,0,55,28,1,-149732
Waste,0,2484,0,61,38,1,-245916
Magnetite,64.02,1066,273.79,31,20,0,237494.14
Hematite,64.12,1509,290.51,65,30,0,295024.59
Waste,0,2824,0,53,20,1,-206152
Magnetite,54.65,1860,327.07,42,36,0,463270.2
Waste,0,2097,0,42,27,1,-144693
Hematite,56.79,1753,300.48,33,31,0,414549.44
Magnetite,53.36,2554,271.84,48,32,0,489959.36
Waste,0,1639,0,61,31,1,-150788
Hematite,59.13,1648,269.28,63,21,0,305341.44
Waste,0,2617,0,55,28,1,-217211
Hematite,62.74,1015,305.11,48,21,0,239651.65
Magnetite,57.95,2228,336.4,58,27,0,560119.2
Magnetite,62.35,1324,265.79,63,31,0,227449.96
Magnetite,51.73,2273,268.6,40,25,0,462782.8
Hematite,62.78,2305,269.92,53,34,0,421630.6
Magnetite,61.95,1170,263.79,63,35,0,193974.3
Magnetite,61.46,1528,311.32,46,34,0,353456.96
Magnetite,55.42,1111,349.23,40,33,0,306891.53
Hematite,58.92,1183,270.35,66,26,0,210988.05
Hematite,55.13,2785,260.64,44,26,0,530932.4
Magnetite,56.09,1087,303.48,33,23,0,269010.76
Hematite,55.46,1384,262.88,67,37,0,219889.92
Hematite,53.85,2328,317.95,54,34,0,535323.6
Hematite,57.11,2209,261.54,61,24,0,389976.86
Hematite,52.52,1148,290.4,49,20,0,254167.2
Magnetite,54.01,2740,250.77,40,21,0,519969.8
Waste,0,2952,0,33,30,1,-185976
Magnetite,57.06,2613,288.43,68,39,0,474076.59
Magnetite,50.35,1524,326.05,56,38,0,353644.2
Magnetite,52.9,1278,344.33,38,33,0,349315.74
Hematite,57.97,2904,250.55,44,30,0,512701.2
Magnetite,63.46,1596,277.03,48,37,0,306479.88
Waste,0,1844,0,54,21,1,-138300
Waste,0,1171,0,58,33,1,-106561
Hematite,50.84,2615,250.3,52,23,0,458409.5
Hematite,52.1,2665,268.49,44,35,0,504990.85
Magnetite,57.17,1397,342.01,45,24,0,381394.97
Magnetite,54.09,2409,321.33,65,20,0,569318.97
Waste,0,1639,0,63,38,1,-165539
Hematite,60.36,1132,286.4,65,22,0,225720.8
Waste,0,1924,0,52,24,1,-146224
Hematite,59.45,2373,284.11,44,31,0,496218.03
Magnetite,57.67,2621,317.46,60,34,0,585688.66
Magnetite,59.01,2903,252.47,59,34,0,462941.41
Hematite,53.22,2460,299.8,50,30,0,540708
Magnetite,60.64,2272,263.94,64,26,0,395191.68
Hematite,52.66,1595,266.08,48,35,0,292012.6
Waste,0,2863,0,32,33,1,-186095
Hematite,57.56,2981,321.16,56,39,0,674182.96
Hematite,57.18,2669,324.16,52,28,0,651663.04
Magnetite,53.29,1870,271.71,65,24,0,341667.7
Hematite,59.79,1385,286.01,46,21,0,303328.85
Hematite,55.88,1393,324.61,44,33,0,344920.73
Waste,0,2184,0,44,32,1,-165984
Waste,0,1082,0,57,38,1,-102790
Hematite,62.73,1022,296.62,36,29,0,236715.64
Hematite,62.23,2977,251.99,56,25,0,509037.23
Magnetite,59.59,1036,258.96,68,30,0,166754.56
Magnetite,60.1,1259,269.34,55,30,0,232084.06
Hematite,52.84,2831,292.74,64,38,0,539984.94
Hematite,53.19,2192,329.32,59,38,0,509245.44
Waste,0,2288,0,69,33,1,-233376
Magnetite,56.96,2877,326,54,22,0,719250
Waste,0,1731,0,61,23,1,-145404
Hematite,57.48,2946,325.96,58,31,0,698084.16
Hematite,62.75,1665,292.33,48,23,0,368514.45
Hematite,63.46,2716,338.6,66,37,0,639889.6
Magnetite,54.21,1170,259.26,55,39,0,193354.2
Magnetite,56.09,2628,296.17,36,30,0,604886.76
Hematite,59.07,2760,339.09,68,35,0,651608.4
Magnetite,63.41,1036,302.05,57,33,0,219683.8
Waste,0,1246,0,68,33,1,-125846
Magnetite,59.06,1742,258.3,45,37,0,307114.6
Magnetite,52.52,1412,253.7,69,25,0,225496.4
Magnetite,64.53,1388,276.66,57,34,0,257696.08
Hematite,55.34,1634,270.23,54,35,0,296129.82
Magnetite,53.18,2068,342.61,42,34,0,551349.48
Magnetite,51.37,1102,265.21,59,20,0,205203.42
Magnetite,52.43,2417,338.13,42,32,0,638402.21
Hematite,52.62,1361,300.56,36,25,0,326041.16
Magnetite,61.92,1146,346.23,66,34,0,282179.58
Waste,0,2273,0,67,33,1,-227300
Hematite,62.56,1474,294.54,30,24,0,354555.96
Magnetite,53.6,1423,334.34,62,38,0,333465.82
Hematite,58.53,1531,259.33,54,39,0,254651.23
Magnetite,60.25,2047,346.68,56,37,0,519282.96
Magnetite,55.43,2670,299.19,35,33,0,617277.3
Magnetite,60.72,2723,315.15,64,30,0,602191.45
Magnetite,56.27,1466,345.43,45,29,0,397916.38
Hematite,52.65,2387,297.62,38,26,0,557650.94
Magnetite,59.72,2683,251.84,36,28,0,503974.72
Magnetite,53.2,1818,281.91,47,21,0,388888.38
Hematite,60.31,1642,316.65,62,23,0,380369.3
Magnetite,59.08,1274,270.97,34,29,0,264953.78
Waste,0,2792,0,55,28,1,-231736
Magnetite,55.18,2625,348.61,68,31,0,655226.25
Waste,0,2989,0,35,38,1,-218197
Hematite,60.82,2218,277.17,59,23,0,432887.06
Hematite,51.02,1577,318.07,68,31,0,345473.39
Magnetite,64.42,1240,326.09,30,32,0,327471.6
Hematite,64.11,2247,315.6,55,21,0,538381.2
Magnetite,57.5,2422,336.71,44,28,0,641127.62
Magnetite,56.98,2008,276.92,59,34,0,369311.36
Waste,0,1967,0,41,39,1,-157360
Magnetite,56.78,1158,296.56,35,29,0,269304.48
Hematite,50.23,2839,315.55,34,37,0,694277.45
Waste,0,2335,0,41,31,1,-168120
Magnetite,55.66,2674,257.67,67,34,0,418935.58
Hematite,53.67,2960,255.21,42,30,0,542301.6
Hematite,60.09,2079,278.37,35,24,0,456070.23
Magnetite,58.92,1485,341.12,60,26,0,378853.2
Magnetite,51.36,2282,323.32,34,27,0,598614.24
Magnetite,55.69,1492,329.4,48,21,0,388516.8
Hematite,63.84,2885,324.14,56,30,0,687033.9
Waste,0,1507,0,65,34,1,-149193
Magnetite,57.97,2794,281.99,60,37,0,516862.06
Waste,0,2657,0,45,20,1,-172705
Waste,0,1544,0,55,29,1,-129696
Waste,0,1720,0,40,36,1,-130720
Hematite,58.96,1171,284.15,41,32,0,247256.65
Magnetite,54.49,2931,331.76,44,26,0,767218.56
Hematite,59.39,2015,306.66,64,28,0,432539.9
Hematite,51.74,2827,307.08,48,36,0,630647.16
Waste,0,1563,0,33,37,1,-109410
Magnetite,56.14,2027,281.82,61,24,0,398954.14
Hematite,59.75,1900,324.98,32,23,0,512962
Magnetite,64.46,1235,295.06,45,35,0,265599.1
Hematite,60.9,2286,344.18,35,23,0,654207.48
Magnetite,56.27,2670,325.13,44,27,0,678527.1
Hematite,52.47,2154,279.23,54,23,0,435603.42
Magnetite,58.99,1320,335.85,60,25,0,331122
Hematite,55.56,1537,259.62,61,37,0,248409.94
Hematite,53.63,2351,267.16,48,24,0,458821.16
Hematite,56.2,2569,273.89,55,27,0,492965.41
Magnetite,63.46,1976,317.27,46,20,0,496509.52
Waste,0,1870,0,35,30,1,-121550
Waste,0,2934,0,33,30,1,-184842
Hematite,62.57,2893,327.45,30,30,0,773732.85
Waste,0,2933,0,47,27,1,-217042
Waste,0,2808,0,33,32,1,-182520
Magnetite,63.45,1211,316.87,60,30,0,274739.57
Hematite,50.81,2647,327.66,54,36,0,629086.02
Waste,0,1340,0,49,39,1,-117920
Hematite,59.24,1951,287.84,57,30,0,391838.84
Waste,0,2794,0,60,24,1,-234696
Hematite,55.25,1530,287.68,40,23,0,343760.4
Hematite,56.37,2226,277,57,29,0,425166
Magnetite,59.77,2931,265.52,34,27,0,599448.12
Magnetite,54.13,1136,260.42,64,24,0,195869.12
Magnetite,55.4,2525,326.89,34,36,0,648647.25
Hematite,59.29,2566,333.19,40,27,0,683043.54
Hematite,60.32,1014,339.99,55,25,0,263629.86
Hematite,62.96,1585,291.2,55,33,0,322072
Magnetite,55.35,1669,320.53,35,23,0,438162.57
Hematite,59.15,1250,337.9,36,35,0,333625
Hematite,50.49,1837,296.68,55,34,0,381508.16
Hematite,60.06,2950,315.33,69,20,0,667673.5
Hematite,61.98,2308,275.06,69,26,0,415578.48
Magnetite,51.63,2140,270.57,50,34,0,399259.8
Waste,0,1815,0,33,31,1,-116160
Magnetite,64.03,2136,331.86,52,27,0,540108.96
Waste,0,2185,0,63,31,1,-205390
Magnetite,54.75,2057,306.83,45,21,0,495387.31
Hematite,55.52,1764,251.04,56,33,0,285838.56
Hematite,56,1977,336.79,41,22,0,541282.83
Hematite,55.88,1790,313.6,53,27,0,418144
Waste,0,1167,0,60,31,1,-106197
Waste,0,1301,0,55,21,1,-98876
Hematite,58.97,2835,323.82,30,29,0,750764.7
Hematite,58.47,2182,303.15,49,39,0,469457.3
Magnetite,56.68,1797,331.2,58,32,0,433436.4
Waste,0,2800,0,39,27,1,-184800
Magnetite,60.74,1517,324.67,34,30,0,395436.39
Waste,0,2744,0,50,37,1,-238728
Hematite,63.65,2675,280.36,65,33,0,487813
Hematite,61.65,1004,338.18,48,35,0,256200.72
Hematite,51.86,1186,272.26,43,38,0,226834.36
Magnetite,53.89,1399,258.61,50,29,0,251274.39
Magnetite,59.82,1827,263.73,48,32,0,335674.71
Magnetite,52.55,1948,266.22,34,35,0,384184.56
Magnetite,57.74,1813,321.14,45,20,0,464381.82
Hematite,62.24,1768,325.48,33,34,0,456992.64
Hematite,57.33,1202,268.49,36,32,0,240988.98
Magnetite,58.94,2871,323.6,48,32,0,699375.6
Hematite,56.86,1777,299.36,60,24,0,382694.72
Magnetite,64.82,2159,281.37,42,20,0,473619.83
Hematite,61.74,2778,305.01,45,23,0,658413.78
Hematite,53.03,2985,272.98,52,38,0,546195.3
Magnetite,63.21,2501,347.19,43,22,0,705757.19
Waste,0,1775,0,63,20,1,-147325
Waste,0,1230,0,32,28,1,-73800
Magnetite,54.7,1995,330.69,57,36,0,474191.55
Magnetite,59.08,1112,321.6,62,27,0,258651.2
Hematite,58.65,2769,293.64,50,34,0,580493.16
Hematite,62.09,2368,254.54,30,21,0,481982.72
Magnetite,50.33,2199,259.97,33,23,0,448530.03
Waste,0,2462,0,66,33,1,-243738
Magnetite,61.39,1755,309.02,49,20,0,421235.1
Waste,0,1485,0,38,32,1,-103950
Magnetite,58.34,1645,339.1,51,26,0,431154.5
Hematite,60.2,1163,338.26,41,35,0,305008.38
Magnetite,58.28,2246,286.82,39,23,0,504945.72
Magnetite,63.46,2981,312.88,46,20,0,735949.28
Magnetite,59.96,1492,345.53,69,28,0,370806.76
Magnetite,52.14,1179,301.86,55,25,0,261572.94
Hematite,63.01,1086,251.87,66,21,0,179048.82
Hematite,59.11,1429,295.8,61,33,0,288372.2
Hematite,64.44,2575,323.42,49,20,0,655131.5
Magnetite,58.05,1063,303.82,63,25,0,229416.66
Magnetite,57.75,2967,266.32,45,28,0,573580.44
Magnetite,60.53,2614,336.92,39,32,0,695114.88
Waste,0,1330,0,35,33,1,-90440
Hematite,54.96,2641,312.51,63,33,0,571802.91
Waste,0,2430,0,68,38,1,-257580
Waste,0,2492,0,38,34,1,-179424
Hematite,52.4,2757,281.81,40,21,0,608773.17
Waste,0,2691,0,60,24,1,-226044
Magnetite,64.17,2341,344.16,45,38,0,611375.56
Magnetite,53.95,1628,346.75,32,25,0,471713
Hematite,62.2,2957,323.55,54,29,0,711306.35
Waste,0,1138,0,56,31,1,-99006
Magnetite,55.98,1549,252.71,58,35,0,247390.79
Hematite,55.69,1120,312.32,57,22,0,261318.4
Waste,0,2751,0,41,30,1,-195321
Hematite,61.15,1131,345.68,63,23,0,293698.08
Hematite,50.62,1423,320.43,52,26,0,344977.89
Waste,0,2236,0,64,24,1,-196768
Magnetite,54.01,2470,328.22,53,28,0,610633.4
Hematite,51.07,1727,264.63,66,33,0,286043.01
Hematite,64.04,1478,265.61,65,39,0,238859.58
Magnetite,58.63,1490,269.95,63,23,0,274085.5
Magnetite,50.09,2648,320.11,30,34,0,678179.28
Magnetite,63.18,1699,283.48,40,21,0,377993.52
Magnetite,61.51,1503,318.77,60,36,0,334823.31
Magnetite,54.67,1472,306.38,37,26,0,358255.36
Hematite,52.83,2051,345.11,41,23,0,576556.61
Waste,0,1606,0,62,26,1,-141328
Hematite,62.45,1577,275.44,38,34,0,320824.88
Magnetite,55.68,2829,308.86,45,28,0,667247.94
Hematite,50.38,1948,311.73,52,24,0,459202.04
Waste,0,2119,0,36,36,1,-152568
Hematite,53.9,1655,271.62,67,32,0,285686.1
Waste,0,1909,0,63,22,1,-162265
Magnetite,56.14,2661,253.3,53,32,0,447846.3
Hematite,60.66,1819,303.61,36,32,0,428574.59
Hematite,62.48,1059,297.28,43,34,0,233276.52
Hematite,51.75,2247,318.11,34,21,0,591208.17
